row,appid
1068,2010150
1069,674020
1070,2231900
1071,1478080
1072,3364130
1073,2059740
1074,1343730
1075,3164730
1076,3003360
1077,3640120
1078,1747310
1079,979640
1080,1977740
1081,2405870
1082,1158690
1083,3210690
1084,2411640
1085,1485580
1086,1559270
1087,2338090
1088,806950
1089,2121210
1090,1740570
1091,1320260
1092,681500
1093,3960260
1094,3908780
1095,2362570
1096,953490
1097,1570450
1098,3534720
1099,1790810
1100,3445300
1101,2539070
1102,3396030
1103,1972960
1104,3462100
1105,1546930
1106,3920460
1107,2475010
1108,2177810
1109,3382860
1110,564450
1111,3036150
1112,1900020
1113,753400
1114,1702590
1115,598480
1116,2844710
1117,3814050
1118,2937930
1119,287840
1120,2911820
1121,2929400
1122,2108840
1123,957390
1124,2949110
1125,1573770
1126,3307300
1127,416800
1128,3613130
1129,1903880
1130,897300
1131,1639850
1132,3821940
1133,3365320
1134,1024640
1135,513910
1136,993200
1137,2729720
1138,3695470
1139,2968690
1140,3315060
1141,698990
1142,804730
1143,878660
1144,887660
1145,323720
1146,1995320
1147,1372480
1148,1534870
1149,2244570
1150,601010
1151,3129760
1152,1779240
1153,1391550
1154,531110
1155,568460
1156,2295790
1157,466270
1158,746710
1159,2607360
1160,1177980
1161,1697180
1162,3104290
1163,3156270
1164,1822540
1165,1249130
1166,3708520
1167,3399630
1168,637110
1169,3440900
1170,435440
1171,2998500
1172,934260
1173,1888860
1174,2404170
1175,1411660
1176,671240
1177,2185900
1178,2112750
1179,211500
1180,457210
1181,2215590
1182,1200400
1183,2013680
1184,2101610
1185,2419550
1186,2443700
1187,1857740
1188,1461980
1189,3177240
1190,3905040
1191,2621140
1192,1693350
1193,3521310
1194,3156430
1195,1483020
1196,2508100
1197,1123570
1198,1089860
1199,3841640
1200,503060
1201,1598020
1202,1416160
1203,3535100
1204,758430
1205,1995780
1206,1196630
1207,779300
1208,2427840
1209,435100
1210,3319130
1211,2997410
1212,955700
1213,3007430
1214,3177660
1215,27900
1216,871270
1217,3318450
1218,546820
1219,2826590
1220,3354130
1221,3631100
1222,2610830
1223,2493580
1224,3122900
1225,1107100
1226,450040
1227,2005750
1228,2664900
1229,578620
1230,670430
1231,1095370
1232,1162010
1233,3023670
1234,842270
1235,611770
1236,3810000
1237,2118000
1238,3029680
1239,3404780
1240,372670
1241,3152120
1242,3499050
1243,1440670
1244,2508810
1245,289090
1246,2728260
1247,2853290
1248,3635080
1249,1304420
1250,1965270
1251,1505400
1252,2138360
1253,1656640
1254,3734340
1255,1893800
1256,984720
1257,2206660
1258,1324510
1259,1150390
1260,1191930
1261,3021650
1262,1824390
1263,1879180
1264,3128940
1265,1915510
1266,1160360
1267,338550
1268,1037910
1269,2110320
1270,2671090
1271,1490250
1272,2232320
1273,620180
1274,3461110
1275,679200
1276,2105020
1277,1127350
1278,3619740
1279,3005330
1280,3368410
1281,776920
1282,3326460
1283,2191570
1284,2598660
1285,1972400
1286,682110
1287,3339780
1288,1869090
1289,1092190
1290,3720760
1291,3607480
1292,379320
1293,1761480
1294,1994860
1295,3065700
1296,2488770
1297,2758510
1298,3824510
1299,2027350
1300,3477910
1301,294570
1302,2718070
1303,2159040
1304,602540
1305,3205590
1306,1707790
1307,2393250
1308,3421130
1309,448800
1310,740690
1311,1300270
1312,3824280
1313,3362390
1314,3070020
1315,1936480
1316,291050
1317,3753000
1318,2248820
1319,2426330
1320,3671660
1321,682590
1322,2002600
1323,2776790
1324,3481270
1325,2779600
1326,1920940
1327,1146430
1328,1843920
1329,2025320
1330,47780
1331,1393960
1332,2635030
1333,1576550
1334,1602350
1335,1510520
1336,574530
1337,2930240
1338,3551350
1339,1106680
1340,1288430
1341,2050800
1342,65980
1343,1116910
1344,1176020
1345,1220440
1346,3458690
1347,1245470
1348,1094680
1349,2630410
1350,1240050
1351,1515260
1352,2488880
1353,1110200
1354,721080
1355,936180
1356,2293300
1357,1715250
1358,408240
1359,676690
1360,3564590
1361,1829010
1362,1587130
1363,915130
1364,2970080
1365,1652710
1366,2936820
1367,468150
1368,3392230
1369,3532810
1370,1495910
1371,3821900
1372,770630
1373,1530340
1374,1661360
1375,3589940
1376,2221740
1377,2210100
1378,1172060
1379,2152540
1380,246110
1381,1773160
1382,3082000
1383,2559060
1384,2160090
1385,2002830
1386,3963750
1387,1598150
1388,1909030
1389,1755030
1390,1610370
1391,3869240
1392,2212650
1393,433380
1394,2341160
1395,3797340
1396,2997860
1397,3725490
1398,2290890
1399,2005570
1400,2020850
1401,3390790
1402,930460
1403,1237330
1404,3709880
1405,1012610
1406,1910130
1407,3716910
1408,3032980
1409,2422710
1410,376240
1411,983280
1412,3412560
1413,2175450
1414,454030
